[2020.05.12 20:55] Канал:cryo_0 Ник:your_aedra	Сообщение:оО колдунья))
[2020.05.12 20:56] Канал:cryo_0 Ник:streamelements	Сообщение:cryo_0 is now live! Streaming The Elder Scrolls V
[2020.05.12 20:56] Канал:cryo_0 Ник:your_aedra	Сообщение:у тебя какой-то специальный Combat Overhal? я пробовал ставить с нексуса, он расы сломал
[2020.05.12 20:57] Канал:cryo_0 Ник:dirhass	Сообщение:даров
[2020.05.12 20:57] Канал:cryo_0 Ник:dirhass	Сообщение:Kappa Squid4
[2020.05.12 20:57] Канал:cryo_0 Ник:your_aedra	Сообщение:под АБ, ясно не смогу использовать
[2020.05.12 20:57] Канал:cryo_0 Ник:your_aedra	Сообщение:я на сЭ
[2020.05.12 20:57] Канал:cryo_0 Ник:dirhass	Сообщение:ща наколдую штуку вопросы будут
[2020.05.12 20:57] Канал:cryo_0 Ник:dirhass	Сообщение:блядский тес едит
[2020.05.12 20:58] Канал:cryo_0 Ник:dirhass	Сообщение:пока прощёлкаешь подсказки кончишься
[2020.05.12 20:58] Канал:cryo_0 Ник:dirhass	Сообщение:ура
[2020.05.12 20:58] Канал:cryo_0 Ник:dirhass	Сообщение:так сносил я его
[2020.05.12 20:59] Канал:cryo_0 Ник:dirhass	Сообщение:чё за платишко?
[2020.05.12 21:00] Канал:cryo_0 Ник:dirhass	Сообщение:а я забил на это просто ремодел и нафиг эти наряды
[2020.05.12 21:00] Канал:cryo_0 Ник:dirhass	Сообщение:ток годные ремоделы ещё найти надо LUL
[2020.05.12 21:02] Канал:cryo_0 Ник:dirhass	Сообщение:да я понял от куда это оно по умолчанию стоит в Skyrim - SLMP-GR
[2020.05.12 21:02] Канал:cryo_0 Ник:dirhass	Сообщение:стоит да
[2020.05.12 21:02] Канал:cryo_0 Ник:dirhass	Сообщение:в гр стоит
[2020.05.12 21:03] Канал:cryo_0 Ник:dirhass	Сообщение:играл в аб на призывной броне норм зашло
[2020.05.12 21:03] Канал:cryo_0 Ник:dirhass	Сообщение:не надо парится и искать снарягу
[2020.05.12 21:03] Канал:cryo_0 Ник:romul_r	Сообщение:жесть здесь анимация рофельная на поворотах
[2020.05.12 21:03] Канал:cryo_0 Ник:dirhass	Сообщение:изи взял на 22 уровне
[2020.05.12 21:04] Канал:cryo_0 Ник:dirhass	Сообщение:знак змея и куча ядов и эбоняха труп
[2020.05.12 21:04] Канал:cryo_0 Ник:romul_r	Сообщение:так квест на потему раньше 30 не стартует же
[2020.05.12 21:04] Канал:cryo_0 Ник:dirhass	Сообщение:квест стартует когда ты выполнил пещеру отнёс рог взял уровень и прошла неделя
[2020.05.12 21:05] Канал:cryo_0 Ник:dirhass	Сообщение:нафиг не нужен 30 лвл
[2020.05.12 21:05] Канал:cryo_0 Ник:romul_r	Сообщение:рог точно не нужен, у меня раньше 30 не стартует энивей
[2020.05.12 21:05] Канал:cryo_0 Ник:dirhass	Сообщение:без рога не запускался хз
[2020.05.12 21:05] Канал:cryo_0 Ник:romul_r	Сообщение:мнения разделились
[2020.05.12 21:06] Канал:cryo_0 Ник:dirhass	Сообщение:я без рога 2 недели ждал и хрен ток рог отнёс и тут же курьер прибёг
[2020.05.12 21:07] Канал:cryo_0 Ник:dirhass	Сообщение:так я отвлёкся
[2020.05.12 21:07] Канал:cryo_0 Ник:dirhass	Сообщение:и забыл чё делал
[2020.05.12 21:11] Канал:cryo_0 Ник:dirhass	Сообщение:а кст чё спросить то хотел
